pop,entry,DTH,TW,GN,GY,HI,FE
1,1038,86.1790241,32.06375046,18566.97285,5.736383873,0.4098722,40.27276732
1,1039,90.01249044,24.3333697,18990.829,4.575775564,0.358366142,46.14310541
1,1041,89.9691558,35.9533697,19526.55471,6.975775564,0.433671249,35.72024827
1,1042,91.88455759,26.18817932,NA,NA,NA,NA
1,1045,89.88455759,24.0033697,22919.97186,5.455775564,0.464574068,57.75453398
1,1047,89.99498253,32.9533697,16774.06329,5.478632707,0.419480985,40.20024827
1,1048,93.04344111,28.57558413,17699.39254,5.13389076,0.474830473,42.95157326
1,1049,92.88455759,28.76558413,15838.54683,4.631033617,0.454108094,44.11728754
1,1053,85.99498253,28.93375046,14144.01285,3.862098159,0.370389481,45.70133875
1,1054,85.9691558,32.17375046,20066.39,6.239241016,0.406374409,43.76991018
1,1056,105.9691558,18.85184667,13753.27073,3.259056612,0.33357526,85.67017205
1,1057,92.9691558,28.46558413,20246.64969,5.831033617,0.432808942,38.40300183
1,1060,99.88455759,26.19741781,18089.11508,5.102826219,0.37158358,35.68752206
1,1062,89.9691558,28.5833697,15698.269,4.438632707,0.424072729,44.23453398
1,1064,120.9691558,22.88291884,18760.89985,5.546775452,0.460264314,84.46679702
1,1065,86.04344111,29.96375046,19136.10428,5.519241016,0.397840462,44.43276732
1,1066,93.03179084,34.70558413,12118.78683,4.288176474,0.389020241,36.26585897
1,1068,120.9691558,24.88291884,7501.014132,3.272489738,0.367327733,68.20393988
1,1069,90.04344111,29.6233697,17954.62329,5.272918421,0.454310045,51.65167684
1,1071,92.99498253,36.08558413,16918.19254,6.17389076,0.382323598,37.6944304
1,1072,114.0317908,15.91108516,10541.40587,2.732125708,0.304843767,69.14799108
1,1073,89.88455759,36.2433697,16660.55471,5.992918421,0.46333563,38.21167684
1,1074,85.9691558,30.54375046,12670.08143,3.644955302,0.355477335,42.02133875
1,1077,89.99498253,26.1233697,19621.93757,5.078632707,0.400299056,45.08024827
1,1079,93.1790241,28.07558413,20249.86111,5.762462189,0.359099453,39.87728754
1,1082,92.9691558,25.95558413,18819.22111,4.962462189,0.387307922,38.0144304
1,1083,86.01249044,34.72375046,12470.93857,4.102098159,0.424943824,48.10133875
1,1084,93.1790241,23.73558413,22823.0154,5.488176474,0.364578142,54.0944304
1,1086,99.99498253,29.94741781,15839.83508,5.11425479,0.404381329,34.54466492
1,1089,120.9691558,23.20291884,9195.825561,3.523918309,0.3119607,61.12965416
1,1090,93.04344111,28.18558413,23192.44397,6.608176474,0.450844463,51.42014469
1,1091,90.03179084,28.1333697,12917.52614,3.58148985,0.426263586,53.85739112
1,1097,92.9691558,27.21558413,13280.96969,3.69389076,0.287085205,38.98585897
1,1098,105.9691558,20.52184667,11898.03644,3.110485183,0.295551987,67.20160062
1,1100,86.03179084,33.18375046,14258.34428,4.502098159,0.413671979,47.70133875
1,1101,99.88455759,27.08741781,15404.09794,4.55425479,0.363866905,42.15609349
1,1102,90.1790241,34.5133697,19237.45757,6.587204135,0.425616626,35.73167684
1,1104,113.9949825,21.20108516,23192.32016,5.829268566,0.337425457,69.91370537
1,1110,93.1790241,27.86558413,20929.68969,5.899605046,0.387455015,37.02014469
1,1112,93.04344111,31.67558413,14059.92969,4.528176474,0.452864397,40.6544304
1,1113,92.9691558,26.59558413,16881.0954,4.562462189,0.386995147,44.43728754
1,1114,105.9691558,25.04184667,14170.27644,4.196199469,0.378933259,94.33302919
1,1115,114.0317908,20.30108516,13730.54873,3.806411423,0.342313294,81.73084823
1,1116,113.9949825,22.97108516,10257.04016,3.406411423,0.339872338,99.09084823
1,1118,99.99498253,35.72741781,13480.74936,5.19425479,0.402636408,29.58466492
1,1120,89.99498253,29.1133697,14645.02329,4.210061278,0.437847172,51.85739112
1,1121,85.9691558,31.54375046,15313.87571,4.604955302,0.374620647,39.09562446
1,1122,91.88455759,29.32817932,22431.75707,6.612614266,0.457101774,46.68970303
1,1123,85.88455759,33.19375046,15496.84714,4.924955302,0.397412343,50.10133875
1,1124,113.8845576,26.54108516,18277.69159,5.806411423,0.373306236,70.8622768
1,1125,113.9691558,16.52108516,16792.65159,3.760697137,0.351986624,80.0622768
1,1126,85.88455759,30.54375046,25584.53857,7.610669588,0.431672403,48.75276732
1,1130,113.8845576,19.18108516,16065.8973,4.069268566,0.364682934,75.47941966
1,1131,91.88455759,31.26817932,19365.15136,6.086899981,0.373468758,37.93541731
1,1132,93.03179084,19.18558413,11114.76397,2.219605046,0.362772804,53.80871611
1,1133,93.1790241,27.11558413,20158.03254,5.53389076,0.403667005,42.24300183
1,1134,89.88455759,31.0133697,12949.32043,3.958632707,0.362917404,33.7088197
1,1136,93.1790241,24.65558413,19879.96397,4.97389076,0.376145185,50.1744304
1,1137,106.0434411,20.89184667,18976.48215,4.584770898,0.406108957,87.83017205
1,1139,92.88455759,30.83558413,13934.74111,4.379605046,0.415594211,40.3344304
